Identifiant du lieu,Ann�e du tournage,Type de tournage,Titre,R�alisateur,Producteur,Localisation de la sc�ne,Code postal,Date de d�but,Date de fin,Coordonn�e en X,Coordonn�e en Y,geo_shape,geo_point_2d,,
2017-95,2017,Long m�trage,GARDE ALTERNEE,Alexandra LECLERE,PAN EUROPEENNE,7 rue du jourdain,75020,75020,16/03/2017,16/03/2017,2.38927164,48.8747952,"{""type"": ""Point"", ""coordinates"": [2.389271644840493, 48.87479520379267]}",48.8747952038,2.38927164484
2017-197,2017,Long m�trage,GARDE ALTERNEE,ALEXANDRA LECLERE,PAN EUROPEENNE,2 rue turgot,75009,75009,03/04/2017,03/04/2017,2.34563865,48.87988847,"{""type"": ""Point"", ""coordinates"": [2.345638651005026, 48.87988846874771]}",48.8798884687,2.34563865101
2017-205,2017,Long m�trage,Un Cadeau du Ciel,Alain Chabat,L�gendaire,20 rue du temple,75004,75004,23/03/2017,24/03/2017,2.35359686,48.85869705,"{""type"": ""Point"", ""coordinates"": [2.353596860505125, 48.85869704542109]}",48.8586970454,2.35359686051
2017-232,2017,Long m�trage,Jean-Fran�ois,Sergi Portabella,Surprise Alley,172 boulevard saint-germain,75006,75006,10/04/2017,10/04/2017,2.33256066,48.85413489,"{""type"": ""Point"", ""coordinates"": [2.332560661293841, 48.85413488409174]}",48.8541348841,2.33256066129
2017-255,2017,Long m�trage,GARDE ALTERNEE,ALEXANDRA LECLERE,PAN EUROPEENNE,place de la sorbonne,75005,75005,10/04/2017,10/04/2017,2.3422599,48.84866092,"{""type"": ""Point"", ""coordinates"": [2.342259900202478, 48.84866091566869]}",48.8486609157,2.3422599002
2017-256,2017,Long m�trage,Un cadeau du ciel,,L�gendaire,20 rue du temple,75004,75004,29/03/2017,30/03/2017,2.35359686,48.85869705,"{""type"": ""Point"", ""coordinates"": [2.353596860505125, 48.85869704542109]}",48.8586970454,2.35359686051
2017-21,2017,Long m�trage,UN CADEAU DU CIEL,Alain Chabat,legendaire,place blanche,75009,75009,28/02/2017,01/03/2017,2.33240846,48.88362939,"{""type"": ""Point"", ""coordinates"": [2.332408458012074, 48.883629393823945]}",48.8836293938,2.33240845801
2017-39,2017,Long m�trage,JALOUSE,St�phane et David FOENKINOS,MANDARIN PRODUCTION,29 rue des vinaigriers,75010,75010,27/02/2017,27/02/2017,2.36253764,48.87310137,"{""type"": ""Point"", ""coordinates"": [2.3625376435397802, 48.87310136620664]}",48.8731013662,2.36253764354
2017-58,2017,Long m�trage,La Femme la plus assassin�e du monde,Franck Ribiere,Polaris Film,29 rue berthe,75018,75018,09/03/2017,10/03/2017,2.34046409,48.88534198,"{""type"": ""Point"", ""coordinates"": [2.340464090163196, 48.88534198225594]}",48.8853419823,2.34046409016
2017-320,2017,Long m�trage,Premi�re Ann�e (2�me Partie),Thomas Lilti,LES FILMS DU PARC,rue des carmes,75005,75005,11/05/2017,12/05/2017,2.3478408,48.8496684,"{""type"": ""Point"", ""coordinates"": [2.347840799444019, 48.849668402860345]}",48.8496684029,2.34784079944
2017-335,2017,Long m�trage,Amanda,Mikhael Hers,Nord-Ouest films,48 avenue du docteur arnold netter,75012,75012,28/08/2017,28/08/2017,2.40571945,48.84406451,"{""type"": ""Point"", ""coordinates"": [2.405719447864053, 48.84406451064705]}",48.8440645106,2.40571944786
2017-290,2017,Long m�trage,Un cadeau du ciel,,L�gendaire,passage josset,75011,75011,13/04/2017,14/04/2017,2.3765750900000002,48.85264131,"{""type"": ""Point"", ""coordinates"": [2.376575089747718, 48.85264130964355]}",48.8526413096,2.37657508975
2017-154,2017,Long m�trage,BELLEVILLE'S COP,Rachid Bouchareb,TESSALIT PRODUCTIONS,60 boulevard de belleville,75020,75020,07/04/2017,07/04/2017,2.38082915,48.86928694,"{""type"": ""Point"", ""coordinates"": [2.380829151549554, 48.869286936913504]}",48.8692869369,2.38082915155
2017-515,2017,Long m�trage,LA FETE DES MERES,MARIE-CASTILLE MENTION-SCHAAR,WILLOW FILMS,104 avenue ledru-rollin,75011,75011,19/09/2017,20/09/2017,2.3769140699999998,48.85233442,"{""type"": ""Point"", ""coordinates"": [2.376914068744148, 48.852334417658895]}",48.8523344177,2.37691406874
2017-530,2017,Long m�trage,LE POULAIN,Mathieu Sapin,PYRAMIDE PRODUCTIONS,quai d'orsay,75007,75007,19/09/2017,19/09/2017,2.30995863,48.86256834,"{""type"": ""Point"", ""coordinates"": [2.309958629685734, 48.86256833510384]}",48.8625683351,2.30995862969
2017-567,2017,Long m�trage,Amanda,Mikhael Hers,Nord-Ouest films,33 rue de f�camp,75012,75012,23/09/2017,23/09/2017,2.39966482,48.83593087,"{""type"": ""Point"", ""coordinates"": [2.399664817536047, 48.83593087333175]}",48.8359308733,2.39966481754
2017-434,2017,Long m�trage,SUN,Jonathan,Rouge International,rue jean-fran�ois l�pine,75018,75018,27/08/2017,27/08/2017,2.35669529,48.88608368,"{""type"": ""Point"", ""coordinates"": [2.356695285497985, 48.88608367931394]}",48.8860836793,2.3566952855
