Identifiant du lieu,Ann�e du tournage,Type de tournage,Titre,R�alisateur,Producteur,Localisation de la sc�ne,Code postal,Date de d�but,Date de fin,Coordonn�e en X,Coordonn�e en Y,geo_shape,geo_point_2d,,
2019-1309,2019,Long m�trage,Une sir�ne � Paris,Mathias Malzieu,OVERDRIVE PRODUCTIONS,place de l'op�ra,75009,75009,16/10/2019,17/10/2019,2.33187457,48.8710898,"{""type"": ""Point"", ""coordinates"": [2.331874565395843, 48.87108979466138]}",48.8710897947,2.3318745654
2016-161,2016,Long m�trage,IRIS/EX CHAOS,JALIL LESPERT,WY PRODUCTIONS,60� RUE� DE TURENNE,75003,18/02/2016,18/02/2016,2.364635,48.859054,"{""type"": ""Point"", ""coordinates"": [2.364634999915373, 48.85905399979355]}",48.8590539998,2.36463499992,
2016-191,2016,Long m�trage,MONSIEUR ET MADAME ADELMAN,NICOLAS BEDOS,LES FILMS DU KIOSQUE,46� RUE� SAINT JACQUES,75005,04/03/2016,04/03/2016,2.34461,48.849401,"{""type"": ""Point"", ""coordinates"": [2.344610000597509, 48.84940099995319]}",48.849401,2.3446100006,
2016-194,2016,Long m�trage,MARIE FRANCINE,VALERIE LEMERCIER,RECTANGLE PRODUCTIONS,84� AVENUE� DE SUFFREN,75015,18/04/2016,19/04/2016,2.30055,48.85121,"{""type"": ""Point"", ""coordinates"": [2.300550000139514, 48.85121000016423]}",48.8512100002,2.30055000014,
2018-1392,2018,Long m�trage,Notre dame,Val�rie Donzelli,RECTANGLE PRODUCTIONS,5 rue ebl�,75007,75007,08/11/2018,09/11/2018,2.31418249,48.84913759,"{""type"": ""Point"", ""coordinates"": [2.314182485110126, 48.849137592411985]}",48.8491375924,2.31418248511
2016-1706,2016,Long m�trage,MONSIEUR ET MADAME ADELMAN,NICOLAS BEDOS,LES FILMS DU KIOSQUE,70� AVENUE� DE BRETEUIL,75007,21/01/2016,22/01/2016,2.311245,48.848251,"{""type"": ""Point"", ""coordinates"": [2.311244999641706, 48.848250999612496]}",48.8482509996,2.31124499964,
2016-1718,2016,Long m�trage,LA VIE DE CHATEAU,CEDRIC IDO,SRAB FILMS,RUE� DU FAUBOURG SAINT MARTIN/CHATEAU D'EAU,75010,02/08/2016,02/08/2016,2.360673,48.876172,"{""type"": ""Point"", ""coordinates"": [2.360672999546791, 48.876171999967]}",48.876172,2.36067299955,
2019-432,2019,Long m�trage,POLICE,ANNE FONTAINE,F COMME FILM,avenue de la porte de vincennes,75012,75012,10/04/2019,11/04/2019,2.41393239,48.84659042,"{""type"": ""Point"", ""coordinates"": [2.413932389451686, 48.84659042092751]}",48.8465904209,2.41393238945
2016-1719,2016,Long m�trage,MARIAGE BLANC,TAREK BOUDALI,AXEL FILMS,4� AVENUE� DE L'OBSERVATOIRE,75006,07/09/2016,07/09/2016,2.336335,48.843419,"{""type"": ""Point"", ""coordinates"": [2.336334999629731, 48.843419000169774]}",48.8434190002,2.33633499963,
2016-1720,2016,Long m�trage,LE PETIT SPIROU,NICOLAS BARY,LES FILMS DU CAP,234� RUE� DU FAUBOURG SAINT MARTIN,75010,28/09/2016,28/09/2016,2.365561,48.881278,"{""type"": ""Point"", ""coordinates"": [2.365560999501897, 48.8812779996193]}",48.8812779996,2.3655609995,
2016-1727,2016,Long m�trage,LE BRIO,YVAN ATTAL,CHAPTER 2,4� BOULEVARD� DU PALAIS,75001,09/12/2016,09/12/2016,2.345992,48.855732,"{""type"": ""Point"", ""coordinates"": [2.345992000062119, 48.85573200023884]}",48.8557320002,2.34599200006,
2019-1352,2019,Long m�trage,De l'or pour les chiens,Anna Cazanave-Cambet,CG Cinema,rue des envierges,75020,75020,15/10/2019,16/10/2019,2.38727507,48.87216166,"{""type"": ""Point"", ""coordinates"": [2.387275069369569, 48.87216166071306]}",48.8721616607,2.38727506937
2018-1427,2018,Long m�trage,Notre dame,Val�rie Donzelli,RECTANGLE PRODUCTIONS,place de valois,75001,75001,26/11/2018,26/11/2018,2.33832825,48.86342307,"{""type"": ""Point"", ""coordinates"": [2.338328250806524, 48.86342307002896]}",48.86342307,2.33832825081
2018-1465,2018,Long m�trage,FORTE,Katia LEWKOWICZ,QUAD FILMS,75 rue de rivoli,75001,75001,28/11/2018,28/11/2018,2.3435806599999998,48.85989953,"{""type"": ""Point"", ""coordinates"": [2.343580660074429, 48.85989952504748]}",48.859899525,2.34358066007
2018-1305,2018,Long m�trage,La Verit�,Hirokazu Kore-Eda,3B Production,rue jean dolent,75014,75014,29/10/2018,29/10/2018,2.33796822,48.8337965,"{""type"": ""Point"", ""coordinates"": [2.337968219604141, 48.8337965004432]}",48.8337965004,2.3379682196
2019-1394,2019,Long m�trage,DES JOURS SAUVAGES,David LANZMANN,SINGLE MAN PRODUCTIONS,18 rue brochant,75017,75017,21/10/2019,23/10/2019,2.31822038,48.88896661,"{""type"": ""Point"", ""coordinates"": [2.318220381548004, 48.8889666107604]}",48.8889666108,2.31822038155
2018-1323,2018,Long m�trage,La Daronne,Jean Paul SALOME,Les Films du Lendemain,39 rue compans,75019,75019,05/11/2018,06/11/2018,2.39323166,48.87796133,"{""type"": ""Point"", ""coordinates"": [2.3932316551203012, 48.87796132893556]}",48.8779613289,2.39323165512
2019-281,2019,Long m�trage,UN VOYAGE EN HIVER,Claus DREXLER,MANEKI FILMS,promenade ren� capitant,75005,75005,14/03/2019,15/03/2019,2.34672224,48.85320678,"{""type"": ""Point"", ""coordinates"": [2.346722239222338, 48.853206778971185]}",48.853206779,2.34672223922
2016-213,2016,Long m�trage,LE BRIO,YVAN ATTAL,CHAPTER 2,12� PLACE� DU PANTHEON,75005,10/11/2016,10/11/2016,2.344876,48.846802,"{""type"": ""Point"", ""coordinates"": [2.344875999397029, 48.846801999659604]}",48.8468019997,2.3448759994,
2018-772,2018,Long m�trage,La premi�re s�ance,Justine Triet,LES FILMS PELLEAS,avenue du ranelagh,75016,75016,02/07/2018,02/07/2018,2.27032,48.85836398,"{""type"": ""Point"", ""coordinates"": [2.270320000023079, 48.85836397954626]}",48.8583639795,2.27032000002
2016-219,2016,Long m�trage,CHERCHEZ LA FEMME,SOU ABADI,THE FILM,AVENUE� FOCH (METRO PORTE DAUPHINE),75016,22/04/2016,22/04/2016,2.277311,48.870905,"{""type"": ""Point"", ""coordinates"": [2.277311000319577, 48.87090499973204]}",48.8709049997,2.27731100032,
2018-1487,2018,Long m�trage,PLACE DES VICTOIRES,Yoann Guillouzouic,WHITE PANAMA FILMS,23 rue simart,75018,75018,05/12/2018,06/12/2018,2.34769037,48.89091754,"{""type"": ""Point"", ""coordinates"": [2.347690368205389, 48.890917541433026]}",48.8909175414,2.34769036821
2016-224,2016,Long m�trage,MAMAN A TORT,MARC FITOUSSI,AVENUE B,8� RUE� DE LA BAUME,75008,12/01/2016,12/01/2016,2.311821,48.874464,"{""type"": ""Point"", ""coordinates"": [2.311820999688865, 48.87446399982769]}",48.8744639998,2.31182099969,
2018-1563,2018,Long m�trage,LE MEILLEUR RESTE � VENIR,Matthieu DELAPORTE et Alexandre DE LA PATELLI�RE,CHAPTER 2,3 rue bachaumont,75002,75002,18/12/2018,19/12/2018,2.34653209,48.86585089,"{""type"": ""Point"", ""coordinates"": [2.346532092798297, 48.865850888958455]}",48.865850889,2.3465320928
2019-157,2019,Long m�trage,LISA REDLER,Nicole GARCIA,LES FILMS PELLEAS,7 avenue franklin d. roosevelt,75008,75008,22/02/2019,22/02/2019,2.31000514,48.86574404,"{""type"": ""Point"", ""coordinates"": [2.310005143034865, 48.86574404311255]}",48.8657440431,2.31000514303
2016-1824,2016,Long m�trage,WAR MACHINE,DAVID MICHOD,FIRSTEP,RUE� DE RIVOLI,75001,31/01/2016,31/01/2016,2.338081,48.861863,"{""type"": ""Point"", ""coordinates"": [2.338080999447198, 48.86186300028196]}",48.8618630003,2.33808099945,
2016-1877,2016,Long m�trage,LES CARNIVORES,JEREMIE RENIER,CHI FOU MI PRODUCTIONS,54� AVENUE� DE VERVAILLES,75016,18/07/2016,22/07/2016,2.274253,48.848199,"{""type"": ""Point"", ""coordinates"": [2.274253000039319, 48.8481990002051]}",48.8481990002,2.27425300004,
2020-510,2020,Long m�trage,Les Jeunes Amants,Carine Tardieu,EX NIHILO,19 rue lesage,75020,75020,30/09/2020,01/10/2020,2.38195588,48.87238855,"{""type"": ""Point"", ""coordinates"": [2.381955879322419, 48.87238854755317]}",48.8723885476,2.38195587932
2020-513,2020,Long m�trage,Entre les Vagues,Anais Volp�,Unit�,82 rue des rigoles,75020,75020,01/10/2020,01/10/2020,2.39015879,48.87372771,"{""type"": ""Point"", ""coordinates"": [2.390158793526145, 48.873727712280704]}",48.8737277123,2.39015879353
2018-1362,2018,Long m�trage,Notre dame,Val�rie Donzelli,RECTANGLE PRODUCTIONS,4 rue dulac,75015,75015,06/11/2018,06/11/2018,2.31521251,48.84353302,"{""type"": ""Point"", ""coordinates"": [2.315212506088781, 48.84353302289899]}",48.8435330229,2.31521250609
2019-690,2019,Long m�trage,TOUT SIMPLEMENT NOIR,JEAN PASCAL ZADI ET JOHN WAXXX,GAUMONT,32 rue louis le grand,75002,75002,12/06/2019,12/06/2019,2.33434513,48.87063878,"{""type"": ""Point"", ""coordinates"": [2.334345131004881, 48.87063877986816]}",48.8706387799,2.334345131
2019-698,2019,Long m�trage,Madame Claude,Sylvie VERHEYDE,Les Compagnons du Cin�ma,2 rue du commandant schloesing,75016,75016,17/06/2019,17/06/2019,2.28498878,48.86189199,"{""type"": ""Point"", ""coordinates"": [2.284988779195575, 48.861891991575924]}",48.8618919916,2.2849887792
2019-712,2019,Long m�trage,T'as P�cho?,Adeline PICAULT,SCARLETT PRODUCTION,79 rue de l'ouest,75014,75014,02/07/2019,03/07/2019,2.3179999000000002,48.83533586,"{""type"": ""Point"", ""coordinates"": [2.317999901726401, 48.835335860761056]}",48.8353358608,2.31799990173
2016-352,2016,Long m�trage,LA VIE DE CHATEAU,CEDRIC IDO,SRAB FILMS,RUE� NICOLAS APPERT,75011,15/08/2016,16/08/2016,2.3703849999999997,48.858913,"{""type"": ""Point"", ""coordinates"": [2.370384999873611, 48.858913000255875]}",48.8589130003,2.37038499987,
2016-367,2016,Long m�trage,DJANGO MELODIES,ETIENNE COMAR,CURIOSA FILMS,168� AVENUE� D'ITALIE,75013,02/03/2016,02/03/2016,2.3585279999999997,48.821194,"{""type"": ""Point"", ""coordinates"": [2.358527999425304, 48.82119400009375]}",48.8211940001,2.35852799943,
2018-1389,2018,Long m�trage,Mon Chien Stupide,Yvan Attal,Same Player,81 boulevard raspail,75006,75006,14/11/2018,14/11/2018,2.3279246000000002,48.84850413,"{""type"": ""Point"", ""coordinates"": [2.327924599718598, 48.84850412776711]}",48.8485041278,2.32792459972
2016-1914,2016,Long m�trage,MONSIEUR ET MADAME ADELMAN,NICOLAS BEDOS,LES FILMS DU KIOSQUE,70� AVENUE� DE BRETEUIL,75007,18/02/2016,19/02/2016,2.311245,48.848251,"{""type"": ""Point"", ""coordinates"": [2.311244999641706, 48.848250999612496]}",48.8482509996,2.31124499964,
2019-174,2019,Long m�trage,IBRAHIM,SAMIR GUESMI,WHY NOT PRODUCTIONS,1 rue des longues raies,75013,75013,22/02/2019,22/02/2019,2.35028376,48.82116195,"{""type"": ""Point"", ""coordinates"": [2.35028375639332, 48.82116194768404]}",48.8211619477,2.35028375639
2018-1406,2018,Long m�trage,L'INSPIRATRICE,GREGORY MAGNE,LES FILMS VELVET,rue vivienne,75002,75002,12/11/2018,12/11/2018,2.34033579,48.86935107,"{""type"": ""Point"", ""coordinates"": [2.340335790625711, 48.86935106472445]}",48.8693510647,2.34033579063
2016-1949,2016,Long m�trage,LA VIE DE CHATEAU,CEDRIC IDO,SRAB FILMS,10� RUE� DIEU,75010,25/08/2016,25/08/2016,2.364755,48.870349,"{""type"": ""Point"", ""coordinates"": [2.364755000112788, 48.87034899999537]}",48.870349,2.36475500011,
2020-535,2020,Long m�trage,GOLIATH,Frederic TELLIER,SINGLE MAN PRODUCTIONS,16 avenue du pr�sident kennedy,75016,75016,30/09/2020,02/10/2020,2.28664754,48.85709637,"{""type"": ""Point"", ""coordinates"": [2.28664754289996, 48.857096365703356]}",48.8570963657,2.2866475429
2020-537,2020,Long m�trage,Le Dernier Mercenaire,David CHARHON,FORECAST PICTURES,port des invalides,75007,75007,10/10/2020,10/10/2020,2.31348065,48.8631595,"{""type"": ""Point"", ""coordinates"": [2.313480651338884, 48.8631594982296]}",48.8631594982,2.31348065134
2019-1435,2019,Long m�trage,La pi�ce rapport�e,Antonin Peretjatko,L'ATELIER DE PRODUCTION / LA PIECE RAPPORTEE,avenue emile deschanel,75007,75007,31/10/2019,31/10/2019,2.3008746,48.85636294,"{""type"": ""Point"", ""coordinates"": [2.300874604527863, 48.85636293495619]}",48.856362935,2.30087460453
2020-561,2020,Long m�trage,�tre En Mouvement,�ric Gravel,Novoprod Cin�ma EEM,145 rue du faubourg saint-martin,75010,75010,28/10/2020,29/10/2020,2.3607052299999998,48.87670936,"{""type"": ""Point"", ""coordinates"": [2.360705229078122, 48.87670935972769]}",48.8767093597,2.36070522908
2018-799,2018,Long m�trage,MERVEILLES A MONTFERMEIL,Jeanne Balibar,FILM(S),63 avenue parmentier,75011,75011,10/07/2018,10/07/2018,2.37548985,48.86373113,"{""type"": ""Point"", ""coordinates"": [2.375489849597857, 48.86373112828044]}",48.8637311283,2.3754898496
2018-1434,2018,Long m�trage,La Daronne,Jean Paul SALOME,Les Films du Lendemain,195 rue du faubourg poissonni�re,75009,75009,19/11/2018,19/11/2018,2.34950512,48.88328844,"{""type"": ""Point"", ""coordinates"": [2.349505115676838, 48.88328843467793]}",48.8832884347,2.34950511568
2020-578,2020,Long m�trage,Les Olympiades,Jacques Audiard,Page 114,107 rue de tolbiac,75013,75013,16/10/2020,16/10/2020,2.3643750199999998,48.82656959,"{""type"": ""Point"", ""coordinates"": [2.364375022770043, 48.82656958961603]}",48.8265695896,2.36437502277
2018-1440,2018,Long m�trage,HORS NORMES,Eric Toledano et Olivier Nakache,ADNP QUAD FILMS,26 rue mathis,75019,75019,19/11/2018,19/11/2018,2.37416606,48.89110457,"{""type"": ""Point"", ""coordinates"": [2.374166055169427, 48.89110457145292]}",48.8911045715,2.37416605517
2019-359,2019,Long m�trage,UN VOYAGE EN HIVER,Claus DREXLER,MANEKI FILMS,16 rue affre,75018,75018,26/03/2019,27/03/2019,2.35578311,48.88605936,"{""type"": ""Point"", ""coordinates"": [2.355783105882622, 48.88605935838088]}",48.8860593584,2.35578310588
2018-831,2018,Long m�trage,NICKY LARSON,PHILIPPE LACHEAU,AXEL FILMS PRODUCTION,16 rue robert de flers,75015,75015,13/07/2018,13/07/2018,2.28419875,48.84972404,"{""type"": ""Point"", ""coordinates"": [2.284198752099386, 48.849724038733456]}",48.8497240387,2.2841987521
2019-1676,2019,Long m�trage,Un m�decin de nuit - Partie 1,Elie Wajeman,Partizan Films,rue bernard palissy,75006,75006,11/12/2019,11/12/2019,2.33160927,48.85315102,"{""type"": ""Point"", ""coordinates"": [2.331609269615613, 48.85315102068378]}",48.8531510207,2.33160926962
2018-1522,2018,Long m�trage,LE MEILLEUR RESTE � VENIR,Matthieu DELAPORTE et Alexandre DE LA PATELLI�RE,CHAPTER 2,51 rue molitor,75016,75016,10/12/2018,10/12/2018,2.25814759,48.84523856,"{""type"": ""Point"", ""coordinates"": [2.258147587811679, 48.84523855757465]}",48.8452385576,2.25814758781
2018-1025,2018,Long m�trage,Toute Ressemblance,Michel Denisot,LES FILMS DU 24,11 rue boulard,75014,75014,03/09/2018,04/09/2018,2.32945324,48.83437466,"{""type"": ""Point"", ""coordinates"": [2.329453242465306, 48.834374660205064]}",48.8343746602,2.32945324247
2018-1469,2018,Long m�trage,Notre dame,Val�rie Donzelli,RECTANGLE PRODUCTIONS,3 rue de lobau,75004,75004,27/11/2018,27/11/2018,2.35291027,48.85601585,"{""type"": ""Point"", ""coordinates"": [2.352910272217192, 48.85601585139161]}",48.8560158514,2.35291027222
2018-1049,2018,Long m�trage,Je voudrais que quelqu'un m'attende quelque part,Arnaud VIARD,Easy TIGER,24 boulevard de bonne nouvelle,75010,75010,18/09/2018,18/09/2018,2.3504609,48.87042518,"{""type"": ""Point"", ""coordinates"": [2.350460895785567, 48.870425176177754]}",48.8704251762,2.35046089579
2019-1466,2019,Long m�trage,LE DISCOURS,Laurent Tirard,LES FILMS SUR MESURE,passage rochebrune,75011,75011,24/10/2019,24/10/2019,2.3798068900000002,48.86197586,"{""type"": ""Point"", ""coordinates"": [2.379806886496061, 48.86197586315099]}",48.8619758632,2.3798068865
2019-1107,2019,Long m�trage,Seize Printemps,Suzanne Lindon,Avenue B Productions,48 rue d'orsel,75018,75018,20/09/2019,20/09/2019,2.34212026,48.88356187,"{""type"": ""Point"", ""coordinates"": [2.342120260645018, 48.88356186886989]}",48.8835618689,2.34212026065
2016-409,2016,Long m�trage,UNE SAISON EN FRANCE,MAHAMAT-SALEH HAROUN,PILI FILMS,33� RUE� SAINT AMBROISE,75011,07/11/2016,10/11/2016,2.378447,48.862736,"{""type"": ""Point"", ""coordinates"": [2.378446999459181, 48.862735999844794]}",48.8627359998,2.37844699946,
2018-846,2018,Long m�trage,LA REVANCHE DES CREVETTES PAILLET�ES,CEDRIC LE GALLO et MAXIME GOVARE,LES IMPRODUCTIBLES,93 quai d'orsay,75007,75007,23/07/2018,23/07/2018,2.30240008,48.86217176,"{""type"": ""Point"", ""coordinates"": [2.302400076189422, 48.86217176177437]}",48.8621717618,2.30240007619
2019-1123,2019,Long m�trage,SELENE 66 QUESTIONS,JACQUELINE LENTZOU,LUXBOX,39 rue des vinaigriers,75010,75010,11/09/2019,11/09/2019,2.36163993,48.87311011,"{""type"": ""Point"", ""coordinates"": [2.361639926379115, 48.87311010813785]}",48.8731101081,2.36163992638
2016-419,2016,Long m�trage,C'EST TOUT POUR MOI,L. COLBEAU JUSTIN,LGM CINEMA,RUE� PETIT,75019,10/03/2016,10/03/2016,2.385804,48.885369,"{""type"": ""Point"", ""coordinates"": [2.385803999733878, 48.885369000090975]}",48.8853690001,2.38580399973,
2016-424,2016,Long m�trage,LA MELODIE,RACHID HAMI,MIZAR FILMS,23� RUE� DU DOCTEUR POTAIN,75019,10/06/2016,10/06/2016,2.397805,48.877122,"{""type"": ""Point"", ""coordinates"": [2.397805000517213, 48.87712200006288]}",48.8771220001,2.39780500052,
2018-1270,2018,Long m�trage,Mignonnes,Ma�mouna Doucour�,Bien ou bien Productions,rue robineau,75020,75020,24/10/2018,24/10/2018,2.39336744,48.86473253,"{""type"": ""Point"", ""coordinates"": [2.39336744288864, 48.864732531592274]}",48.8647325316,2.39336744289
2018-746,2018,Long m�trage,CHANSON DOUCE,LUCIE BORLETEAU,WHY NOT PRODUCTIONS,18 boulevard voltaire,75011,75011,28/06/2018,28/06/2018,2.3672352500000002,48.86528293,"{""type"": ""Point"", ""coordinates"": [2.36723525056895, 48.86528292577059]}",48.8652829258,2.36723525057
2016-487,2016,Long m�trage,JOUR J,REEM KHERICI,MANDARIN FILMS,PLACE� LOUIS ARMAND,75012,18/08/2016,18/08/2016,2.374032,48.845539,"{""type"": ""Point"", ""coordinates"": [2.374032000647302, 48.84553899958467]}",48.8455389996,2.37403200065,
2018-1470,2018,Long m�trage,FORTE,Katia LEWKOWICZ,QUAD FILMS,31 rue piat,75020,75020,30/11/2018,30/11/2018,2.38490769,48.87188405,"{""type"": ""Point"", ""coordinates"": [2.384907687578372, 48.87188404411276]}",48.8718840441,2.38490768758
2016-1987,2016,Long m�trage,DIANE A LES EPAULES,FABIEN GORGEART,PETIT FILM,123� RUE� DE REUILLY,75012,16/08/2016,17/08/2016,2.394875,48.840608,"{""type"": ""Point"", ""coordinates"": [2.394874999434256, 48.84060799991458]}",48.8406079999,2.39487499943,
2018-1286,2018,Long m�trage,Remember me,Martin Rosete,F COMME FILM,1 place charles dullin,75018,75018,05/11/2018,07/11/2018,2.3424734799999998,48.88337997,"{""type"": ""Point"", ""coordinates"": [2.342473476086469, 48.883379968131905]}",48.8833799681,2.34247347609
2018-1568,2018,Long m�trage,FORTE,Katia LEWKOWICZ,QUAD FILMS,259 avenue gambetta,75020,75020,20/12/2018,20/12/2018,2.40622469,48.87670919,"{""type"": ""Point"", ""coordinates"": [2.406224687035411, 48.87670918617277]}",48.8767091862,2.40622468704
2019-165,2019,Long m�trage,Miss,Ruben Alves,ZAZI FILMS,rue de l'ourcq,75019,75019,20/02/2019,21/02/2019,2.38212384,48.89072811,"{""type"": ""Point"", ""coordinates"": [2.382123838268563, 48.89072810914764]}",48.8907281091,2.38212383827
2019-534,2019,Long m�trage,En attendant qui ? Mai,Marc RECUENCO,SerialBstudio,2 boulevard de courcelles,75017,75017,11/06/2019,11/06/2019,2.31504611,48.88132227,"{""type"": ""Point"", ""coordinates"": [2.315046113426942, 48.88132227155263]}",48.8813222716,2.31504611343
2020-622,2020,Long m�trage,LA VIE DEVANT SOI,Nessim CHIKHAOUI,ALBERTINE PRODUCTIONS / LA VIE DEVANT SOI,place jacques rueff,75007,75007,09/10/2020,09/10/2020,2.297606,48.85570324,"{""type"": ""Point"", ""coordinates"": [2.297605998664475, 48.8557032352894]}",48.8557032353,2.29760599866
2019-1526,2019,Long m�trage,Les Ann�es 10 - L'infiltr�,Thierry De Peretti,Les Films Velvet,5 rue de la paix,75002,75002,07/11/2019,07/11/2019,2.33057324,48.86881061,"{""type"": ""Point"", ""coordinates"": [2.330573235926169, 48.86881060505027]}",48.8688106051,2.33057323593
2018-914,2018,Long m�trage,It Must Be Heaven,Elia Suleiman,Rectangle Productions,place du louvre,75001,75001,06/08/2018,06/08/2018,2.34089396,48.85997279,"{""type"": ""Point"", ""coordinates"": [2.34089395891472, 48.85997278596215]}",48.859972786,2.34089395891
2019-218,2019,Long m�trage,Musique de Chambre,Christophe Honor�,LES FILMS PELLEAS,rue delambre,75014,75014,18/03/2019,19/03/2019,2.32722073,48.84158565,"{""type"": ""Point"", ""coordinates"": [2.327220732561345, 48.84158564508723]}",48.8415856451,2.32722073256
2018-1057,2018,Long m�trage,LUZ,Flora LAU,AMA Productions,pont des invalides,75007,75007,11/09/2018,12/09/2018,2.3103863000000002,48.86362688,"{""type"": ""Point"", ""coordinates"": [2.310386300802888, 48.86362687990131]}",48.8636268799,2.3103863008
2019-219,2019,Long m�trage,LES HEROIQUES,Maxime Roy,TS PRODUCTIONS,17 rue philippe de girard,75010,75010,11/03/2019,12/03/2019,2.36143507,48.88235204,"{""type"": ""Point"", ""coordinates"": [2.361435072157541, 48.8823520376578]}",48.8823520377,2.36143507216
2019-554,2019,Long m�trage,VILLA CAPRICE,BERNARD STORA,JPG FILMS,67 rue de lille,75007,75007,27/05/2019,27/05/2019,2.32582933,48.85961141,"{""type"": ""Point"", ""coordinates"": [2.325829334650255, 48.859611407333475]}",48.8596114073,2.32582933465
2019-108,2019,Long m�trage,DOCTEUR ?,Tristan SEGUELA,Unit� de Production,7 avenue de la porte des lilas,75019,75019,31/01/2019,01/02/2019,2.40754536,48.87765614,"{""type"": ""Point"", ""coordinates"": [2.407545364999348, 48.87765614042088]}",48.8776561404,2.407545365
2019-119,2019,Long m�trage,L'�TREINTE,Ludovic Bergery,Moby Dick Films,39 rue de richelieu,75001,75001,22/01/2019,22/01/2019,2.33667692,48.86571097,"{""type"": ""Point"", ""coordinates"": [2.33667692128828, 48.86571096688595]}",48.8657109669,2.33667692129
2019-381,2019,Long m�trage,Mon Cousin,Jan Kounen,ESKWAD,route de la porte dauphine � la porte des sablons,75016,75016,08/04/2019,09/04/2019,2.27207628,48.87355845,"{""type"": ""Point"", ""coordinates"": [2.272076277594363, 48.873558445489216]}",48.8735584455,2.27207627759
2019-579,2019,Long m�trage,TOUT SIMPLEMENT NOIR,JEAN PASCAL ZADI ET JOHN WAXXX,GAUMONT,avenue rapp,75007,75007,31/05/2019,31/05/2019,2.3008592500000002,48.8598782,"{""type"": ""Point"", ""coordinates"": [2.30085924639927, 48.85987819877956]}",48.8598781988,2.3008592464
2018-1526,2018,Long m�trage,FORTE,Katia LEWKOWICZ,QUAD FILMS,84 rue championnet,75018,75018,10/12/2018,12/12/2018,2.34320194,48.89586915,"{""type"": ""Point"", ""coordinates"": [2.343201935825067, 48.89586915313273]}",48.8958691531,2.34320193583
2016-537,2016,Long m�trage,MARVIN,ANNE FONTAINE,CINE @,QUAI� CONTI,75006,23/09/2016,23/09/2016,2.338244,48.856967,"{""type"": ""Point"", ""coordinates"": [2.338244000498104, 48.856967000126325]}",48.8569670001,2.3382440005,
2019-583,2019,Long m�trage,L'Origine du Monde,Laurent Lafitte,Tr�sor Films,8 rue saint-roch,75001,75001,07/06/2019,07/06/2019,2.33166179,48.8643248,"{""type"": ""Point"", ""coordinates"": [2.331661791602547, 48.86432480168713]}",48.8643248017,2.3316617916
2018-1542,2018,Long m�trage,FORTE,Katia LEWKOWICZ,QUAD FILMS,23 rue hermel,75018,75018,13/12/2018,20/12/2018,2.34427624,48.89123499,"{""type"": ""Point"", ""coordinates"": [2.344276235214876, 48.89123498950522]}",48.8912349895,2.34427623521
2016-593,2016,Long m�trage,CA C'EST LA FAMILLE,TEDDY LUSSI MODESTE,KAZAK PRODUCTIONS,64� RUE� MONCEAU,75008,17/08/2016,17/08/2016,2.313015,48.878738,"{""type"": ""Point"", ""coordinates"": [2.313015000548198, 48.87873799986372]}",48.8787379999,2.31301500055,
2018-1547,2018,Long m�trage,La nuit venue,Frederic Farrucci,Koro film,avenue de la porte de la villette,75019,75019,11/12/2018,11/12/2018,2.38766126,48.89958912,"{""type"": ""Point"", ""coordinates"": [2.387661261196787, 48.899589118985816]}",48.899589119,2.3876612612
2016-2167,2016,Long m�trage,CORPORATE,NICOLAS SILHOL,KAZAK PRODUCTIONS,208� RUE� DU FBG SAINT HONORE/CON. C.ST SAENS,75008,15/03/2016,15/03/2016,2.304697,48.875315,"{""type"": ""Point"", ""coordinates"": [2.304697000214905, 48.87531499983353]}",48.8753149998,2.30469700021,
2016-2170,2016,Long m�trage,FLORA63,STEPHANE ROBELIN,ICI ET LA PRODUCTIONS,5� RUE� DE BELLEVILLE,75019,10/05/2016,10/05/2016,2.377741,48.872458,"{""type"": ""Point"", ""coordinates"": [2.377740999521665, 48.87245799965602]}",48.8724579997,2.37774099952,
2020-689,2020,Long m�trage,L'amour c'est mieux que la vie,Claude Lelouch,Les Films 13,6 rue lucien gaulard,75018,75018,24/10/2020,24/10/2020,2.33899469,48.88939046,"{""type"": ""Point"", ""coordinates"": [2.338994685263213, 48.889390456994]}",48.889390457,2.33899468526
2016-2599,2016,Long m�trage,GC5,GUILLAUME CANET,LES PRODUCTIONS DU TRESOR,6� RUE� PIERRE FONTAINE,75009,17/02/2016,17/02/2016,2.334921,48.880776,"{""type"": ""Point"", ""coordinates"": [2.334921000072045, 48.880776000311805]}",48.8807760003,2.33492100007,
2020-733,2020,Long m�trage,COULEURS DE L'INCENDIE,Clovis Cornillac,GAUMONT C/0 GAUMONT PRODUCTION,rue de harlay,75001,75001,28/10/2020,28/10/2020,2.34318146,48.85657817,"{""type"": ""Point"", ""coordinates"": [2.34318145906394, 48.85657817302001]}",48.856578173,2.34318145906
2016-2626,2016,Long m�trage,STARS 80 LA SUITE,THOMAS LANGMANN,LA PETITE REINE,BOULEVARD� DES CAPUCINES/OLYMPIA,75009,30/08/2016,30/08/2016,2.329842,48.870283,"{""type"": ""Point"", ""coordinates"": [2.329841999854956, 48.87028300006656]}",48.8702830001,2.32984199985,
